# time (sec)	countrate
  33.312500      1232.00
  33.437500      1160.00
  33.562500      1272.00
  33.687500      1264.00
  33.812500      3224.00
  33.937500      3424.00
  34.062500      1824.00
  34.187500      1120.00
  34.312500      856.000
  34.437500      1400.00
  34.562500      1240.00
  34.687500      1408.00
  34.812500      1344.00
  34.937500      1776.00
  35.062500      2856.00
  35.187500      3408.00
  35.312500      2224.00
  35.437500      1552.00
  35.562500      824.000
  35.687500      1104.00
  35.812500      1560.00
  35.937500      1312.00
  36.062500      1712.00
  36.187500      1496.00
  36.312500      3496.00
  36.437500      3520.00
  36.562500      2168.00
  36.687500      1592.00
  36.812500      864.000
  36.937500      1176.00
  37.062500      1768.00
  37.187500      1552.00
  37.312500      1528.00
  37.437500      1752.00
  37.562500      3056.00
  37.687500      2608.00
  37.812500      1472.00
  37.937500      1040.00
  38.062500      936.000
  38.187500      1064.00
  38.312500      1384.00
  38.437500      1312.00
  38.562500      1568.00
  38.687500      2128.00
  38.812500      3344.00
  38.937500      2912.00
  39.062500      2464.00
  39.187500      1584.00
  39.312500      872.000
  39.437500      1224.00
  39.562500      1328.00
  39.687500      1912.00
  39.812500      1640.00
  39.937500      2480.00
  40.062500      3168.00
  40.187500      2992.00
  40.312500      1544.00
  40.437500      976.000
  40.562500      1120.00
  40.687500      1704.00
  40.812500      1504.00
  40.937500      1760.00
  41.062500      2192.00
  41.187500      2608.00
  41.312500      3936.00
  41.437500      3160.00
  41.562500      1856.00
  41.687500      840.000
  41.812500      1312.00
  41.937500      1472.00
  42.062500      1152.00
  42.187500      1480.00
  42.312500      1280.00
  42.437500      2312.00
  42.562500      3624.00
  42.687500      2296.00
  42.812500      2280.00
  42.937500      776.000
  43.062500      968.000
  43.187500      1456.00
  43.312500      1000.00
  43.437500      1664.00
  43.562500      1352.00
  43.687500      2384.00
  43.812500      3312.00
  43.937500      2064.00
  44.062500      1712.00
  44.187500      936.000
  44.312500      664.000
  44.437500      1352.00
  44.562500      1096.00
  44.687500      1328.00
  44.812500      1440.00
  44.937500      2520.00
  45.062500      2464.00
  45.187500      1592.00
  45.312500      1232.00
  45.437500      608.000
  45.562500      592.000
  45.687500      1248.00
  45.812500      976.000
  45.937500      1448.00
  46.062500      1512.00
  46.187500      2832.00
  46.312500      3224.00
  46.437500      2032.00
  46.562500      1696.00
  46.687500      688.000
  46.812500      880.000
  46.937500      1144.00
  47.062500      1144.00
  47.187500      1440.00
  47.312500      1632.00
  47.437500      2464.00
  47.562500      3096.00
  47.687500      1712.00
  47.812500      1736.00
  47.937500      728.000
  48.062500      728.000
  48.187500      1040.00
  48.312500      992.000
  48.437500      1024.00
  48.562500      1656.00
  48.687500      2880.00
  48.812500      2936.00
  48.937500      2264.00
  49.062500      1808.00
  49.187500      712.000
  49.312500      992.000
  49.437500      1024.00
  49.562500      1136.00
  49.687500      1360.00
  49.812500      1688.00
  49.937500      2872.00
  50.062500      2632.00
  50.187500      2064.00
  50.312500      1424.00
  50.437500      880.000
  50.562500      1200.00
  50.687500      1216.00
  50.812500      1320.00
  50.937500      1944.00
  51.062500      1832.00
  51.187500      3544.00
  51.312500      2736.00
  51.437500      2168.00
  51.562500      816.000
  51.687500      1000.00
  51.812500      1104.00
  51.937500      1192.00
  52.062500      960.000
  52.187500      1112.00
  52.312500      2288.00
  52.437500      3336.00
  52.562500      2312.00
  52.687500      1832.00
  52.812500      904.000
  52.937500      832.000
  53.062500      896.000
  53.187500      1016.00
  53.312500      1336.00
  53.437500      1680.00
  53.562500      2616.00
  53.687500      3016.00
  53.812500      2240.00
  53.937500      2128.00
  54.062500      984.000
  54.187500      872.000
  54.312500      1064.00
  54.437500      928.000
  54.562500      1280.00
  54.687500      1304.00
  54.812500      2304.00
  54.937500      3104.00
  55.062500      2008.00
  55.187500      2432.00
  55.312500      1256.00
  55.437500      848.000
  55.562500      760.000
  55.687500      992.000
  55.812500      1488.00
  55.937500      1736.00
  56.062500      3080.00
  56.187500      3472.00
  56.312500      2008.00
  56.437500      2192.00
  56.562500      944.000
  56.687500      1120.00
  56.812500      1368.00
  56.937500      1320.00
  57.062500      1768.00
  57.187500      1992.00
  57.312500      3496.00
  57.437500      3656.00
  57.562500      2376.00
  57.687500      1232.00
  57.812500      920.000
  57.937500      1032.00
  58.062500      1240.00
  58.187500      1104.00
  58.312500      1632.00
  58.437500      1368.00
  58.562500      3416.00
  58.687500      3320.00
  58.812500      2368.00
  58.937500      1272.00
  59.062500      784.000
  59.187500      1584.00
  59.312500      1088.00
  59.437500      1224.00
  59.562500      1696.00
  59.687500      1480.00
  59.812500      2096.00
  59.937500      2736.00
  60.062500      1912.00
  60.187500      1136.00
  60.312500      696.000
  60.437500      2032.00
  60.562500      1072.00
  60.687500      1448.00
  60.812500      2016.00
  60.937500      2216.00
  61.062500      3504.00
  61.187500      3440.00
  61.312500      2240.00
  61.437500      1888.00
  61.562500      960.000
  61.687500      1424.00
  61.812500      1176.00
  61.937500      1192.00
  62.062500      1240.00
  62.187500      1616.00
  62.312500      3080.00
  62.437500      2712.00
  62.562500      1944.00
  62.687500      1432.00
  62.812500      968.000
  62.937500      2104.00
  63.062500      1480.00
  63.187500      1416.00
  63.312500      1264.00
  63.437500      2096.00
  63.562500      2736.00
  63.687500      2136.00
  63.812500      1632.00
  63.937500      1008.00
  64.062500      744.000
  64.187500      1224.00
  64.312500      880.000
  64.437500      1072.00
  64.562500      1768.00
  64.687500      1984.00
  64.812500      2624.00
  64.937500      1856.00
  65.062500      1584.00
  65.187500      616.000
  65.312500      824.000
  65.437500      1632.00
  65.562500      1096.00
  65.687500      1296.00
  65.812500      1072.00
  65.937500      1944.00
  66.062500      2840.00
  66.187500      1904.00
  66.312500      1368.00
  66.437500      680.000
  66.562500      808.000
  66.687500      1432.00
  66.812500      984.000
  66.937500      1232.00
  67.062500      1168.00
  67.187500      2120.00
  67.312500      3328.00
  67.437500      1792.00
  67.562500      2040.00
  67.687500      704.000
  67.812500      984.000
  67.937500      1592.00
  68.062500      952.000
  68.187500      1184.00
  68.312500      1000.00
  68.437500      2696.00
  68.562500      2856.00
  68.687500      1456.00
  68.812500      1608.00
  68.937500      552.000
  69.062500      816.000
  69.187500      1080.00
  69.312500      904.000
  69.437500      1504.00
  69.562500      1544.00
  69.687500      2696.00
  69.812500      3000.00
  69.937500      2304.00
  70.062500      1848.00
  70.187500      600.000
  70.312500      1392.00
  70.437500      1552.00
  70.562500      1176.00
  70.687500      1208.00
  70.812500      1224.00
  70.937500      2528.00
  71.062500      2712.00
  71.187500      1768.00
  71.312500      1496.00
  71.437500      824.000
  71.562500      1040.00
  71.687500      1136.00
  71.812500      1144.00
  71.937500      1448.00
  72.062500      1696.00
  72.187500      2584.00
  72.312500      2576.00
  72.437500      2128.00
  72.562500      1344.00
  72.687500      760.000
  72.812500      1336.00
  72.937500      1360.00
  73.062500      1072.00
  73.187500      1312.00
  73.312500      1800.00
  73.437500      2624.00
  73.562500      2672.00
  73.687500      2440.00
  73.812500      1072.00
  73.937500      584.000
  74.062500      920.000
  74.187500      1112.00
  74.312500      1480.00
  74.437500      1352.00
  74.562500      2128.00
  74.687500      3360.00
  74.812500      3000.00
  74.937500      2504.00
  75.062500      744.000
  75.187500      824.000
  75.312500      1704.00
  75.437500      1312.00
  75.562500      1752.00
  75.687500      1384.00
  75.812500      1632.00
  75.937500      2880.00
  76.062500      2248.00
  76.187500      1936.00
  76.312500      1200.00
  76.437500      856.000
  76.562500      1104.00
  76.687500      952.000
  76.812500      1256.00
  76.937500      1312.00
  77.062500      1816.00
  77.187500      2784.00
  77.312500      2112.00
  77.437500      1640.00
  77.562500      600.000
  77.687500      752.000
  77.812500      864.000
  77.937500      824.000
  78.062500      1024.00
  78.187500      1040.00
  78.312500      1944.00
  78.437500      2896.00
  78.562500      1824.00
  78.687500      1456.00
  78.812500      720.000
  78.937500      712.000
  79.062500      984.000
  79.187500      824.000
  79.312500      1272.00
  79.437500      1272.00
  79.562500      2920.00
  79.687500      3504.00
  79.812500      2624.00
  79.937500      2864.00
  80.062500      904.000
  80.187500      888.000
  80.312500      1424.00
  80.437500      1296.00
  80.562500      1616.00
  80.687500      1544.00
  80.812500      3520.00
  80.937500      3776.00
  81.062500      2824.00
  81.187500      1776.00
  81.312500      648.000
  81.437500      760.000
  81.562500      1280.00
  81.687500      1008.00
  81.812500      1928.00
  81.937500      1200.00
  82.062500      2568.00
  82.187500      3264.00
  82.312500      2224.00
  82.437500      1024.00
  82.562500      776.000
  82.687500      1296.00
  82.812500      1344.00
  82.937500      1024.00
  83.062500      1808.00
  83.187500      1136.00
  83.312500      2528.00
  83.437500      3352.00
  83.562500      2136.00
  83.687500      1528.00
  83.812500      808.000
  83.937500      944.000
  84.062500      1168.00
  84.187500      1176.00
  84.312500      1256.00
  84.437500      1312.00
  84.562500      2912.00
  84.687500      3088.00
  84.812500      1920.00
  84.937500      1552.00
  85.062500      720.000
  85.187500      1040.00
  85.312500      936.000
  85.437500      1080.00
  85.562500      1200.00
  85.687500      1280.00
  85.812500      3072.00
  85.937500      2960.00
  86.062500      1496.00
  86.187500      960.000
  86.312500      768.000
  86.437500      1296.00
  86.562500      1256.00
  86.687500      1120.00
  86.812500      1592.00
  86.937500      1992.00
  87.062500      3544.00
  87.187500      3008.00
  87.312500      2032.00
  87.437500      808.000
  87.562500      936.000
  87.687500      1496.00
  87.812500      1192.00
  87.937500      1448.00
  88.062500      1320.00
  88.187500      2080.00
  88.312500      3232.00
  88.437500      2712.00
  88.562500      2208.00
  88.687500      1024.00
  88.812500      696.000
  88.937500      1584.00
  89.062500      1544.00
  89.187500      888.000
  89.312500      1312.00
  89.437500      2312.00
  89.562500      4048.00
  89.687500      2560.00
  89.812500      1736.00
  89.937500      976.000
  90.062500      1216.00
  90.187500      1456.00
  90.312500      1416.00
  90.437500      1080.00
  90.562500      1168.00
  90.687500      1968.00
  90.812500      2216.00
  90.937500      1560.00
  91.062500      1464.00
  91.187500      664.000
  91.312500      784.000
  91.437500      1216.00
  91.562500      1080.00
  91.687500      1328.00
  91.812500      1040.00
  91.937500      2600.00
  92.062500      2944.00
  92.187500      1848.00
  92.312500      1544.00
  92.437500      656.000
  92.562500      936.000
  92.687500      1416.00
  92.812500      1352.00
  92.937500      888.000
  93.062500      1088.00
  93.187500      3256.00
  93.312500      3760.00
  93.437500      1888.00
  93.562500      2120.00
  93.687500      776.000
  93.812500      1072.00
  93.937500      1152.00
  94.062500      1080.00
  94.187500      1520.00
  94.312500      1672.00
  94.437500      2816.00
  94.562500      3224.00
  94.687500      2328.00
  94.812500      1488.00
  94.937500      808.000
  95.062500      1104.00
  95.187500      1280.00
  95.312500      1144.00
  95.437500      1320.00
  95.562500      1240.00
  95.687500      2848.00
  95.812500      2856.00
  95.937500      2000.00
  96.062500      2256.00
  96.187500      1048.00
  96.312500      1272.00
  96.437500      1160.00
  96.562500      1096.00
  96.687500      1096.00
  96.812500      1376.00
  96.937500      2488.00
  97.062500      3112.00
  97.187500      1984.00
  97.312500      1032.00
  97.437500      688.000
  97.562500      1048.00
  97.687500      1000.00
  97.812500      1104.00
  97.937500      1208.00
  98.062500      1800.00
  98.187500      2944.00
  98.312500      2648.00
  98.437500      2144.00
  98.562500      1096.00
  98.687500      744.000
  98.812500      1064.00
  98.937500      1016.00
  99.062500      1288.00
  99.187500      1440.00
  99.312500      1344.00
  99.437500      2696.00
  99.562500      2504.00
  99.687500      1840.00
  99.812500      1224.00
  99.937500      880.000
  100.06250      1232.00
  100.18750      1136.00
  100.31250      1056.00
  100.43750      1112.00
  100.56250      2360.00
  100.68750      4264.00
  100.81250      3600.00
  100.93750      2496.00
  101.06250      1496.00
  101.18750      776.000
  101.31250      1040.00
  101.43750      1040.00
  101.56250      1240.00
  101.68750      1224.00
  101.81250      1704.00
  101.93750      3448.00
  102.06250      2224.00
  102.18750      1936.00
  102.31250      912.000
  102.43750      824.000
  102.56250      1304.00
  102.68750      1256.00
  102.81250      952.000
  102.93750      888.000
  103.06250      2544.00
  103.18750      3216.00
  103.31250      1744.00
  103.43750      1864.00
  103.56250      704.000
  103.68750      1016.00
  103.81250      1240.00
  103.93750      952.000
  104.06250      1112.00
  104.18750      1144.00
  104.31250      1800.00
  104.43750      2520.00
  104.56250      1752.00
  104.68750      1528.00
  104.81250      840.000
  104.93750      1464.00
  105.06250      1176.00
  105.18750      944.000
  105.31250      1128.00
  105.43750      1440.00
  105.56250      2648.00
  105.68750      4272.00
  105.81250      2096.00
  105.93750      1552.00
  106.06250      816.000
  106.18750      1304.00
  106.31250      1128.00
  106.43750      1264.00
  106.56250      1160.00
  106.68750      1384.00
  106.81250      3224.00
  106.93750      3768.00
  107.06250      2120.00
  107.18750      1904.00
  107.31250      672.000
  107.43750      1552.00
  107.56250      1096.00
  107.68750      888.000
  107.81250      1432.00
  107.93750      1888.00
  108.06250      2680.00
  108.18750      3008.00
  108.31250      1976.00
  108.43750      1624.00
  108.56250      824.000
  108.68750      1112.00
  108.81250      1024.00
  108.93750      984.000
  109.06250      1040.00
  109.18750      1360.00
  109.31250      3640.00
  109.43750      3096.00
  109.56250      1896.00
  109.68750      1712.00
  109.81250      808.000
  109.93750      1536.00
  110.06250      888.000
  110.18750      1032.00
  110.31250      1272.00
  110.43750      1800.00
  110.56250      2696.00
  110.68750      2376.00
  110.81250      1696.00
  110.93750      528.000
  111.06250      712.000
  111.18750      1104.00
  111.31250      1176.00
  111.43750      1144.00
  111.56250      1656.00
  111.68750      1400.00
  111.81250      3192.00
  111.93750      2944.00
  112.06250      2280.00
  112.18750      1072.00
  112.31250      784.000
  112.43750      1064.00
  112.56250      1080.00
  112.68750      1296.00
  112.81250      1768.00
  112.93750      2312.00
  113.06250      3896.00
  113.18750      2856.00
  113.31250      2368.00
  113.43750      872.000
  113.56250      1384.00
  113.68750      1568.00
  113.81250      912.000
  113.93750      1016.00
  114.06250      1144.00
  114.18750      1880.00
  114.31250      3144.00
  114.43750      2368.00
  114.56250      1864.00
  114.68750      968.000
  114.81250      776.000
  114.93750      1176.00
  115.06250      1352.00
  115.18750      1312.00
  115.31250      1680.00
  115.43750      2912.00
  115.56250      3376.00
  115.68750      2208.00
  115.81250      1896.00
  115.93750      848.000
  116.06250      608.000
  116.18750      960.000
  116.31250      936.000
  116.43750      1216.00
  116.56250      1904.00
  116.68750      3096.00
  116.81250      3680.00
  116.93750      2440.00
  117.06250      2768.00
  117.18750      768.000
  117.31250      832.000
  117.43750      1024.00
  117.56250      984.000
  117.68750      1192.00
  117.81250      1544.00
  117.93750      2968.00
  118.06250      2328.00
  118.18750      1760.00
  118.31250      2056.00
  118.43750      656.000
  118.56250      1240.00
  118.68750      880.000
  118.81250      1024.00
  118.93750      1216.00
  119.06250      1336.00
  119.18750      2744.00
  119.31250      3048.00
  119.43750      2144.00
  119.56250      1896.00
  119.68750      744.000
  119.81250      1328.00
  119.93750      1384.00
  120.06250      1152.00
  120.18750      1848.00
  120.31250      1864.00
  120.43750      2848.00
  120.56250      2712.00
  120.68750      1656.00
  120.81250      1312.00
  120.93750      1024.00
  121.06250      1208.00
  121.18750      1256.00
  121.31250      1320.00
  121.43750      1888.00
  121.56250      2048.00
  121.68750      3640.00
  121.81250      2536.00
  121.93750      1768.00
  122.06250      936.000
  122.18750      832.000
  122.31250      1496.00
  122.43750      1120.00
  122.56250      1048.00
  122.68750      1448.00
  122.81250      1784.00
  122.93750      2824.00
  123.06250      2344.00
  123.18750      1952.00
  123.31250      864.000
  123.43750      912.000
  123.56250      1616.00
  123.68750      1264.00
  123.81250      1136.00
  123.93750      1080.00
  124.06250      1920.00
  124.18750      3000.00
  124.31250      2456.00
  124.43750      1976.00
  124.56250      1136.00
  124.68750      1096.00
  124.81250      1488.00
  124.93750      1304.00
  125.06250      992.000
  125.18750      1200.00
  125.31250      1648.00
  125.43750      2544.00
  125.56250      1784.00
  125.68750      1528.00
  125.81250      904.000
  125.93750      888.000
  126.06250      1408.00
  126.18750      1080.00
  126.31250      1560.00
  126.43750      1408.00
  126.56250      2680.00
  126.68750      2752.00
  126.81250      1960.00
  126.93750      2040.00
  127.06250      904.000
  127.18750      1248.00
  127.31250      1232.00
  127.43750      896.000
  127.56250      1400.00
  127.68750      1232.00
  127.81250      1536.00
  127.93750      2200.00
  128.06250      1712.00
  128.18750      1576.00
  128.31250      808.000
  128.43750      1224.00
  128.56250      848.000
  128.68750      984.000
  128.81250      904.000
  128.93750      1232.00
  129.06250      1896.00
  129.18750      3920.00
  129.31250      2728.00
  129.43750      1768.00
  129.56250      800.000
  129.68750      1392.00
  129.81250      1512.00
  129.93750      1184.00
  130.06250      1272.00
  130.18750      1488.00
  130.31250      2968.00
  130.43750      3192.00
  130.56250      2184.00
  130.68750      2424.00
  130.81250      880.000
  130.93750      1336.00
  131.06250      1472.00
  131.18750      1056.00
  131.31250      1672.00
  131.43750      1776.00
  131.56250      3392.00
  131.68750      3224.00
  131.81250      2264.00
  131.93750      1920.00
  132.06250      672.000
  132.18750      1160.00
  132.31250      1232.00
  132.43750      992.000
  132.56250      1528.00
  132.68750      1584.00
  132.81250      3800.00
  132.93750      4000.00
  133.06250      1712.00
  133.18750      1312.00
  133.31250      712.000
  133.43750      1672.00
  133.56250      1440.00
  133.68750      1216.00
  133.81250      1872.00
  133.93750      1360.00
  134.06250      3200.00
  134.18750      2856.00
  134.31250      2408.00
  134.43750      1672.00
  134.56250      808.000
  134.68750      1696.00
  134.81250      1072.00
  134.93750      1056.00
  135.06250      1696.00
  135.18750      1544.00
  135.31250      3368.00
  135.43750      2808.00
  135.56250      1968.00
  135.68750      1440.00
  135.81250      784.000
  135.93750      1440.00
  136.06250      1264.00
  136.18750      1496.00
  136.31250      1584.00
  136.43750      2056.00
  136.56250      3096.00
  136.68750      2752.00
  136.81250      2144.00
  136.93750      1352.00
  137.06250      1280.00
  137.18750      1680.00
  137.31250      864.000
  137.43750      1216.00
  137.56250      2040.00
  137.68750      2136.00
  137.81250      3184.00
  137.93750      2232.00
  138.06250      1760.00
  138.18750      824.000
  138.31250      1096.00
  138.43750      1488.00
  138.56250      1080.00
  138.68750      1336.00
  138.81250      1576.00
  138.93750      2848.00
  139.06250      4008.00
  139.18750      2664.00
  139.31250      3064.00
  139.43750      1008.00
  139.56250      1496.00
  139.68750      1672.00
  139.81250      1096.00
  139.93750      1568.00
  140.06250      1568.00
  140.18750      2432.00
  140.31250      4168.00
  140.43750      2528.00
  140.56250      1944.00
  140.68750      728.000
  140.81250      1536.00
  140.93750      1808.00
  141.06250      776.000
  141.18750      1216.00
  141.31250      1496.00
  141.43750      2696.00
  141.56250      2952.00
  141.68750      1744.00
  141.81250      1312.00
  141.93750      816.000
  142.06250      1296.00
  142.18750      1720.00
  142.31250      1056.00
  142.43750      1672.00
  142.56250      1040.00
  142.68750      2992.00
  142.81250      3848.00
  142.93750      1920.00
  143.06250      2280.00
  143.18750      800.000
  143.31250      752.000
  143.43750      1320.00
  143.56250      1056.00
  143.68750      1672.00
  143.81250      1936.00
  143.93750      3592.00
  144.06250      2984.00
  144.18750      1760.00
  144.31250      2360.00
  144.43750      1024.00
  144.56250      984.000
  144.68750      1392.00
  144.81250      944.000
  144.93750      1328.00
  145.06250      1576.00
  145.18750      3224.00
  145.31250      2664.00
  145.43750      1992.00
  145.56250      2136.00
  145.68750      800.000
  145.81250      776.000
  145.93750      1336.00
  146.06250      1272.00
  146.18750      1528.00
  146.31250      1528.00
  146.43750      2784.00
  146.56250      2896.00
  146.68750      1952.00
  146.81250      2080.00
  146.93750      848.000
  147.06250      928.000
  147.18750      1680.00
  147.31250      1456.00
  147.43750      1848.00
  147.56250      1736.00
  147.68750      3640.00
  147.81250      3288.00
  147.93750      2440.00
  148.06250      1384.00
  148.18750      960.000
  148.31250      1088.00
  148.43750      1240.00
  148.56250      1192.00
  148.68750      1408.00
  148.81250      2280.00
  148.93750      3504.00
  149.06250      2264.00
  149.18750      2136.00
  149.31250      720.000
  149.43750      768.000
  149.56250      872.000
  149.68750      976.000
  149.81250      1144.00
  149.93750      1104.00
  150.06250      2472.00
  150.18750      4064.00
  150.31250      2704.00
  150.43750      2600.00
  150.56250      1576.00
  150.68750      1016.00
  150.81250      1176.00
  150.93750      976.000
  151.06250      1008.00
  151.18750      1184.00
  151.31250      2456.00
  151.43750      3816.00
  151.56250      2240.00
  151.68750      2232.00
  151.81250      928.000
  151.93750      1040.00
  152.06250      1072.00
  152.18750      912.000
  152.31250      1056.00
  152.43750      1384.00
  152.56250      2136.00
  152.68750      2648.00
  152.81250      1736.00
  152.93750      1656.00
  153.06250      600.000
  153.18750      1072.00
  153.31250      1368.00
  153.43750      912.000
  153.56250      1280.00
  153.68750      1016.00
  153.81250      2544.00
  153.93750      3472.00
  154.06250      2088.00
  154.18750      2096.00
  154.31250      704.000
  154.43750      1288.00
  154.56250      1344.00
  154.68750      1352.00
  154.81250      1152.00
  154.93750      1400.00
  155.06250      4056.00
  155.18750      4360.00
  155.31250      2816.00
  155.43750      2280.00
  155.56250      824.000
  155.68750      1264.00
  155.81250      1608.00
  155.93750      1440.00
  156.06250      1392.00
  156.18750      1480.00
  156.31250      3504.00
  156.43750      3576.00
  156.56250      2200.00
  156.68750      1480.00
  156.81250      760.000
  156.93750      1088.00
  157.06250      1080.00
  157.18750      856.000
  157.31250      1200.00
  157.43750      1224.00
  157.56250      3216.00
  157.68750      3016.00
  157.81250      2112.00
  157.93750      2192.00
  158.06250      880.000
  158.18750      1160.00
  158.31250      968.000
  158.43750      1352.00
  158.56250      1552.00
  158.68750      1960.00
  158.81250      3424.00
  158.93750      2816.00
  159.06250      1944.00
  159.18750      1488.00
  159.31250      720.000
  159.43750      848.000
  159.56250      1096.00
  159.68750      1144.00
  159.81250      960.000
  159.93750      1528.00
  160.06250      3208.00
  160.18750      2672.00
  160.31250      1952.00
  160.43750      1088.00
